10 6.61 6.29 7.05 3.78 4.23 4.12 4.8 3.71 7.3 5.2
20 6.03 5.38 6.16 3.09 4.03 3.61 5.06 3.7 6.18 4.71
30 5.85 5.08 6.2 3.12 5.56 3.77 5.19 3.86 5.76 5.53
40 5.52 4.97 5.86 3.21 5.24 4 4.87 4.07 5.62 4.9
50 6.02 5 5.98 4.03 5.65 4.02 4.41 3.63 5.72 4.74
60 4.92 4.29 5.65 5.02 4.83 4.15 4.7 3.86 5.43 4.67
70 6.8 5.04 5.92 6.47 4.99 4 4.6 4.17 5.47 4.74
80 5.34 5.51 7.24 5.54 4.27 5.42 4.42 3.55 5.9 4.54
90 5.58 6.62 6.24 4.54 6.02 7.46 4.72 3.87 5.57 4.48
100 4.62 6.36 7.29 5.06 5.07 7.67 6.41 3.77 5.87 4.63
110 5.34 6.66 6.69 4.61 4.73 6.78 7.19 3.39 4.81 5.35
120 4.97 5.68 5.91 6.12 4.88 7 6.44 3.88 4.8 7.09
130 4.67 5.9 5.68 5.18 5.04 6.24 5.2 4.21 5.09 6.43
140 4.83 6.25 5.67 5.31 4.26 5.07 5.8 4.02 5.56 6.94
150 5.32 5.76 6.04 4.94 4.18 5.52 5 3.55 5.2 6.6
160 4.59 5.35 5.45 5.03 5.53 5.42 4.96 3.74 6.06 6.02
170 5.56 4.94 5.25 4.85 6.24 5.01 5.39 3.8 7.54 5.28
180 5.11 5.04 4.96 4.21 6.54 5.33 5.02 3.45 7.74 4.84
190 6.35 4.83 5.16 4.93 6.03 5.32 5.2 3.46 7.48 4.8
200 7.07 4.93 4.42 4.18 5.7 4.3 4.71 5.11 6.59 5.58
210 7.45 4.84 4.79 4.16 5.6 4.73 4.78 6.4 6.18 4.48
220 6.59 4.46 4.68 6.59 5.23 4.33 4.71 5.62 7.41 4.36
230 6.46 4.67 4.8 7.41 4.65 4.16 4.08 5.69 6.45 4.95
240 6.74 3.86 4.42 6.83 4.93 4.23 3.88 4.76 5.51 4.04
250 5.77 4.15 4.56 6.07 4.74 4.47 4.47 5.74 5.69 4.23
260 6.56 4.27 4.48 5.77 5.79 5.8 4.05 5.32 5.05 4.18
270 5.47 4.3 4.68 5.12 7.5 6.81 4.54 5.11 6.1 3.96
280 6.05 6.42 4.66 7.41 6.81 7.07 4.72 4.4 5.38 4.04
290 5.73 7.8 4.51 7.8 6.39 6.09 4.54 4.99 5.68 4.29
